"Period","n","mean_EMA_days","r","CI_lower","CI_upper","t","df","p_value"
"Month 1",136,15.6,0.425718466519608,0.277254297479412,0.554326940455056,5.44622494734719,134,2.38056500678294e-07
"Month 2",140,13.5,0.502485927741574,0.367193379385514,0.616957152915844,6.82740326833852,138,2.51669144740642e-10
"Overall (M1+M2)",276,14.6,0.462715394270831,0.364563220360588,0.550698546877872,8.63986815445626,274,4.74960322398708e-16
"Between-Person",168,NA,0.513003433836747,0.392045266957852,0.616525389564998,7.70001213833853,166,1.16281952961502e-12
"Baseline PSS vs Overall EMA",177,26,0.468138009891444,0.344419812110726,0.575874138249506,7.00825685444365,175,5.01870964507816e-11
