effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),0.13354574800594496,0.20591778612793296,-1.3057111399202064,0.1916508082037022,0.0065033851794214,2.742335924819706
fixed,GroupHC,1.0176496467639156,0.6544171872611533,0.0272066409432843,0.9782949189613153,0.2885482386445088,3.589038728580124
fixed,age,0.9459648521190595,0.044705409366718706,-1.175433139127275,0.2398214718606167,0.8622794096869493,1.0377720856972676
fixed,sexM,1.03127778744309,0.3923151925776356,0.08096019854489048,0.9354736055156262,0.4892878868060757,2.1736362243012897
fixed,race_whiteNon-White,1.6464129036814052,0.61696188264732,1.3305517320150633,0.1833365536402242,0.7898910490742223,3.431708021740005
fixed,clgry_total_baseline,1.0511799084881306,0.06552616179076058,0.8007154708529224,0.4232963840889825,0.9302864709986332,1.1877838004275763
fixed,bprs_total_baseline,0.9749191680942675,0.03051846104564596,-0.8114316385728126,0.41711783612493286,0.9169020693016202,1.0366073064286616
fixed,oasis_total_baseline,1.0190659827825255,0.053958336169966654,0.3566936226684918,0.7213211802884816,0.9186121635794382,1.1305048185057147
fixed,study_day,1.0057844546423313,0.0045780241332499805,1.2671738431942745,0.20509313635438386,0.9968515971838323,1.0147973600664444
fixed,stress_lag1,1.03815318560361,0.05320002217120521,0.730675158792226,0.4649775922517963,0.9389484100328643,1.1478394608934908
fixed,ndvi_lag1,0.5245507442033638,0.41629810104927906,-0.8129919765409673,0.4162226583536368,0.11072615562760224,2.4849908468754913
