effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),0.1025008633780375,0.16961180418820124,-1.376585100662966,0.16864055995811555,0.004001420770452499,2.625674128255947
fixed,GroupHC,0.820387277382757,0.5993596192064506,-0.2709879866562624,0.7864002719440082,0.19595076823910373,3.434716234795462
fixed,age,0.98076952181997,0.050743837770890955,-0.37530420572310197,0.7074342386665691,0.8861899392435084,1.0854432129438316
fixed,sexM,1.0493015029484234,0.44922129588034215,0.11241080596040724,0.9104976877164372,0.45340727539996095,2.428354602644109
fixed,race_whiteNon-White,1.4479502824305783,0.5983050019550541,0.8957927588410037,0.37036345800349757,0.6442139873184872,3.254446599518324
fixed,clgry_total_baseline,1.0153770523632724,0.06937716038681141,0.22333975287589455,0.8232710902010484,0.888111966143878,1.160879030762775
fixed,bprs_total_baseline,0.9979650022377788,0.0344163143719284,-0.059068665119513065,0.9528974166590567,0.9327394682815607,1.067751692255841
fixed,oasis_total_baseline,1.0005344246141727,0.06042856175611789,0.00884627034036627,0.9929417895333268,0.8888380237720033,1.1262672253710861
